07:55:35:929 (36532) > --- NIXXES log start ---
07:55:35:933 (36532) > 
07:55:35:934 (36532) > Memory statistics:
07:55:35:935 (36532) >   Total RAM = 31.9 GB (32698 MB)
07:55:35:936 (36532) >   Avail RAM = 14.7 GB (15047 MB)
07:55:35:937 (36532) >   Total virtual memory = 4.0 GB (4095 MB)
07:55:35:938 (36532) >   Avail virtual memory = 3.4 GB (3440 MB)
07:55:35:939 (36532) > OS = Windows 8 (build 9200)
07:55:35:940 (36532) > Starting Tomb Raider v1.01.748.0
07:55:36:838 (36532) > [Main] Current directory: C:\Tomb Raider
07:55:36:858 (36532) > Mounted TITLE.000
07:55:36:862 (36532) > Mounted PATCH.000
07:55:36:866 (36532) > Mounted PATCH2.000
07:55:36:928 (36532) > [Render] PCDeviceManager constructor start
07:55:37:397 (36532) > [Render] PCDeviceManager constructor end
07:55:37:709 (36532) > [Render] PCDX11DeviceManager constructor start
07:55:37:711 (36532) > D3D Adapter Information:
07:55:37:712 (36532) > Adapter Description: NVIDIA GeForce RTX 2080 SUPER
07:55:37:712 (36532) > VendorID: 10de
07:55:37:713 (36532) > DeviceID: 1e81
07:55:37:713 (36532) > Revision: a1
07:55:37:714 (36532) > NVidia hardware detected. Attemping to load NVAPI...
07:55:37:714 (36532) > NVAPI loaded succesfully.
07:55:37:715 (36532) > NvAPI_Stereo_IsEnabled() returned an error: -219
07:55:37:792 (36532) > Reducing mouse lag by setting frame latency to 1...
07:55:37:792 (36532) > D3D reports feature level 11 is supported.
07:55:37:794 (36532) > NVAPI Depth Bounds Test supported.
07:55:37:855 (36532) > D3D Adapter Information:
07:55:37:855 (36532) > Adapter Description: Microsoft Basic Render Driver
07:55:37:856 (36532) > VendorID: 1414
07:55:37:856 (36532) > DeviceID: 8c
07:55:37:857 (36532) > Revision: 0
07:55:37:874 (36532) > Reducing mouse lag by setting frame latency to 1...
07:55:37:875 (36532) > D3D reports feature level 11 is supported.
07:55:37:875 (36532) > D3D reports no hardware multiple command list support.
07:55:37:879 (36532) > [Render] Adapter M has no outputs!
07:55:37:879 (36532) > [Render] PCDX11DeviceManager constructor end
07:56:31:324 (36532) > CPU count: logical = 32, cores = 16, physical = 1
07:56:31:378 (36532) > D3D Adapter Information:
07:56:31:379 (36532) > Adapter Description: NVIDIA GeForce RTX 2080 SUPER
07:56:31:380 (36532) > VendorID: 10de
07:56:31:381 (36532) > DeviceID: 1e81
07:56:31:381 (36532) > Revision: a1
07:56:31:382 (36532) > NVidia hardware detected. Attemping to load NVAPI...
07:56:31:384 (36532) > NVAPI loaded succesfully.
07:56:31:384 (36532) > NvAPI_Stereo_IsEnabled() returned an error: -140
07:56:31:495 (36532) > Reducing mouse lag by setting frame latency to 1...
07:56:31:495 (36532) > D3D reports feature level 11 is supported.
07:56:31:496 (36532) > NVAPI Depth Bounds Test supported.
07:56:31:508 (61432) > CreateSwapChain() = 0
07:56:31:509 (61432) > MakeWindowAssociation() = 0
07:56:31:674 (61432) > SetFullscreenState() = 0
07:56:31:872 (36532) > [Render] Using DirectX 11
07:56:32:016 (36532) > Initalizing audio...
07:56:32:088 (36532) > Audio device found. FMOD reports 7 driver(s).
07:56:32:089 (36532) > Audio Driver Name: Hodetelefoner (Arctis 5 Game)
07:56:32:090 (36532) > Speaker Mode: 2
07:56:34:221 (36532) > WebService is not ready yet, retry...
07:56:34:534 (36532) > WebService is not ready yet, retry...
07:56:34:538 (36532) > WebService is not ready yet, retry...
07:56:34:543 (36532) > WebService is not ready yet, retry...
07:56:34:550 (36532) > WebService is not ready yet, retry...
07:56:34:557 (36532) > WebService is not ready yet, retry...
07:56:34:564 (36532) > WebService is not ready yet, retry...
07:56:34:571 (36532) > WebService is not ready yet, retry...
07:56:34:571 (36532) > WebService is not ready yet, retry...
07:56:34:578 (36532) > WebService is not ready yet, retry...
07:56:34:578 (36532) > WebService is not ready yet, retry...
07:56:34:585 (36532) > WebService is not ready yet, retry...
07:56:34:585 (36532) > WebService is not ready yet, retry...
07:56:34:593 (36532) > WebService is not ready yet, retry...
07:56:34:593 (36532) > WebService is not ready yet, retry...
07:56:34:603 (36532) > WebService is not ready yet, retry...
07:56:34:603 (36532) > WebService is not ready yet, retry...
07:56:34:613 (36532) > WebService is not ready yet, retry...
07:56:34:613 (36532) > WebService is not ready yet, retry...
07:56:34:623 (36532) > WebService is not ready yet, retry...
07:56:34:623 (36532) > WebService is not ready yet, retry...
07:56:34:633 (36532) > WebService is not ready yet, retry...
07:56:34:633 (36532) > WebService is not ready yet, retry...
07:56:34:643 (36532) > WebService is not ready yet, retry...
07:56:34:643 (36532) > WebService is not ready yet, retry...
07:56:34:653 (36532) > WebService is not ready yet, retry...
07:56:34:653 (36532) > WebService is not ready yet, retry...
07:56:34:663 (36532) > WebService is not ready yet, retry...
07:56:34:663 (36532) > WebService is not ready yet, retry...
07:56:34:673 (36532) > WebService is not ready yet, retry...
07:56:34:673 (36532) > WebService is not ready yet, retry...
07:56:34:683 (36532) > WebService is not ready yet, retry...
07:56:34:683 (36532) > WebService is not ready yet, retry...
07:56:34:693 (36532) > WebService is not ready yet, retry...
07:56:34:693 (36532) > WebService is not ready yet, retry...
07:56:34:703 (36532) > WebService is not ready yet, retry...
07:56:34:703 (36532) > WebService is not ready yet, retry...
07:56:34:713 (36532) > WebService is not ready yet, retry...
07:56:34:713 (36532) > WebService is not ready yet, retry...
07:56:34:723 (36532) > WebService is not ready yet, retry...
07:56:34:723 (36532) > WebService is not ready yet, retry...
07:56:34:733 (36532) > WebService is not ready yet, retry...
07:56:34:733 (36532) > WebService is not ready yet, retry...
07:56:34:743 (36532) > WebService is not ready yet, retry...
07:56:34:743 (36532) > WebService is not ready yet, retry...
07:56:34:753 (36532) > WebService is not ready yet, retry...
07:56:34:754 (36532) > WebService is not ready yet, retry...
07:56:34:763 (36532) > WebService is not ready yet, retry...
07:56:34:763 (36532) > WebService is not ready yet, retry...
07:56:34:774 (36532) > WebService is not ready yet, retry...
07:56:34:774 (36532) > WebService is not ready yet, retry...
07:56:34:783 (36532) > WebService is not ready yet, retry...
07:56:34:783 (36532) > WebService is not ready yet, retry...
07:56:34:794 (36532) > WebService is not ready yet, retry...
07:56:34:794 (36532) > WebService is not ready yet, retry...
07:56:34:803 (36532) > WebService is not ready yet, retry...
07:56:34:803 (36532) > WebService is not ready yet, retry...
07:56:34:813 (36532) > WebService is not ready yet, retry...
07:56:34:813 (36532) > WebService is not ready yet, retry...
07:56:34:824 (36532) > WebService is not ready yet, retry...
07:56:34:824 (36532) > WebService is not ready yet, retry...
07:56:34:833 (36532) > WebService is not ready yet, retry...
07:56:34:833 (36532) > WebService is not ready yet, retry...
