        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU only Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2020-02-12 01:56:33 ,          35.0   ,            734.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        2   ,                        380   ,                       94   ,                  20.0   ,         0.750   ,            0.675   ,               59.4   ,                  4012   ,
2020-02-12 01:56:34 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        380   ,                       94   ,                  11.0   ,         0.725   ,            0.675   ,               59.0   ,                  3991   ,
2020-02-12 01:56:35 ,          11.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        380   ,                       94   ,                  11.0   ,         0.725   ,            0.675   ,               57.6   ,                  3985   ,
2020-02-12 01:56:36 ,           6.0   ,            202.0   ,           0.0   ,           0.0   ,               45.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        380   ,                       94   ,                  11.0   ,         0.725   ,            0.675   ,               56.5   ,                  4008   ,
2020-02-12 01:56:37 ,          34.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        4   ,                        382   ,                       98   ,                  12.0   ,         0.750   ,            0.675   ,               55.8   ,                  3995   ,
2020-02-12 01:56:38 ,          35.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        4   ,                        386   ,                       99   ,                  12.0   ,         0.725   ,            0.675   ,               54.5   ,                  3981   ,
2020-02-12 01:56:39 ,          17.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        3   ,                        386   ,                       99   ,                  12.0   ,         0.725   ,            0.675   ,               53.0   ,                  3975   ,
2020-02-12 01:56:40 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               45.0   ,                          45.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        387   ,                       99   ,                  11.0   ,         0.725   ,            0.675   ,               53.0   ,                  4025   ,
2020-02-12 01:56:41 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        402   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               53.0   ,                  4049   ,
2020-02-12 01:56:42 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        405   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               52.9   ,                  4057   ,
